,InterestingEventTime,LastHealthyMoment,EventDescription,currentThreadID,BotNumber,RhythmTime,Health
0,2022-04-29 00:00:01.882500,2022-04-29 00:00:01.882500, Dynamic Status,43,2398,2,tachycardia
1,2022-04-29 00:00:03.887700,2022-04-29 00:02:20.178300, Dynamic Status,43,2398,2,healthy
2,2022-04-29 00:02:20.730400,2022-04-29 00:02:34.041700, Initialize : Cmd 1008768 : Response,43,2398,2,tachycardia
3,2022-04-29 00:02:36.301900,2022-04-29 00:02:36.301900, Dynamic Status,43,2398,2,healthy
4,2022-04-29 00:02:37.394000,2022-04-29 00:02:37.932100, Dynamic Status,43,2398,2,tachycardia
5,2022-04-29 00:02:39.730300,2022-04-29 00:02:43.731700, Dynamic Status,43,2398,2,healthy
6,2022-04-29 00:02:43.935700,2022-04-29 00:02:43.935700, Event : OperationalState : OperationalState Idle : SubState SubStateOK,43,2398,2,tachycardia
7,2022-04-29 00:02:45.748900,2022-04-29 00:11:37.117000, Dynamic Status,43,2398,2,healthy
8,2022-04-29 00:11:37.378000,2022-04-29 00:11:37.579100, Initialize : Cmd 1008772 : Response,43,2398,2,tachycardia
9,2022-04-29 00:11:39.404200,2022-04-29 01:02:33.238600, Dynamic Status,43,2398,2,healthy
10,2022-04-29 01:02:33.807600,2022-04-29 01:02:35.240800, Event : Alert ActionId:0 Text:Odometer_m:3,43,2398,2,tachycardia
11,2022-04-29 01:02:37.245000,2022-04-29 01:24:58.618100, Dynamic Status,43,2398,2,healthy
12,2022-04-29 01:24:58.815100,2022-04-29 01:25:02.194500, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,2398,2,tachycardia
13,2022-04-29 01:25:04.197700,2022-04-29 01:25:04.197700, Dynamic Status,43,2398,2,healthy
14,2022-04-29 01:25:05.514800,2022-04-29 01:25:27.124000, Dynamic Status,43,2398,2,tachycardia
15,2022-04-29 01:25:33.740600,2022-04-29 01:25:33.740600, Event : Action Status : AddWayPoint 1040102 : Status Completed,43,2398,2,arrhythmia
16,2022-04-29 01:25:33.740600,2022-04-29 01:25:35.181800, Dynamic Status,43,2398,2,tachycardia
17,2022-04-29 01:25:37.182000,2022-04-29 01:25:47.258000, Dynamic Status,43,2398,2,healthy
18,2022-04-29 01:25:47.815000,2022-04-29 01:26:01.156400, Event : Payload Status,43,2398,2,tachycardia
19,2022-04-29 01:26:02.687500,2022-04-29 01:26:02.687500, Dynamic Status,43,2398,2,healthy
20,2022-04-29 01:26:03.540600,2022-04-29 01:26:15.293800, Initialize : Cmd 1008779 : Response,43,2398,2,tachycardia
21,2022-04-29 01:26:17.092000,2022-04-29 01:26:26.856900, Dynamic Status,43,2398,2,healthy
22,2022-04-29 01:26:27.060000,2022-04-29 01:26:27.259000, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,2398,2,tachycardia
23,2022-04-29 01:26:29.150200,2022-04-29 01:26:31.089400, Dynamic Status,43,2398,2,healthy
24,2022-04-29 01:26:31.287400,2022-04-29 01:26:32.090500, Event : Action Status : AddWayPoint 1040177 : Status Completed,43,2398,2,tachycardia
25,2022-04-29 01:26:33.840600,2022-04-29 01:26:33.840600, Dynamic Status,43,2398,2,healthy
26,2022-04-29 01:26:34.036700,2022-04-29 01:26:34.036700, Event : Action Status : AddWayPoint 1040178 : Status Completed,43,2398,2,tachycardia
27,2022-04-29 01:26:35.845800,2022-04-29 01:26:35.845800, Dynamic Status,43,2398,2,healthy
28,2022-04-29 01:26:37.301000,2022-04-29 01:26:37.501000, Dynamic Status,43,2398,2,tachycardia
29,2022-04-29 01:26:39.313200,2022-04-29 01:27:17.177000, Dynamic Status,43,2398,2,healthy
30,2022-04-29 01:27:17.401000,2022-04-29 01:27:17.611000, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,2398,2,tachycardia
31,2022-04-29 01:27:19.449200,2022-04-29 01:27:19.449200, Dynamic Status,43,2398,2,healthy
32,2022-04-29 01:27:20.356300,2022-04-29 01:27:22.859500, Initialize : Cmd 1008789 : Response,43,2398,2,tachycardia
33,2022-04-29 01:27:24.667700,2022-04-29 01:27:24.667700, Dynamic Status,43,2398,2,healthy
34,2022-04-29 01:27:24.879700,2022-04-29 01:27:24.880700, Dynamic Status,43,2398,2,tachycardia
35,2022-04-29 01:27:26.833900,2022-04-29 01:27:26.833900, Dynamic Status,43,2398,2,healthy
36,2022-04-29 01:27:27.582000,2022-04-29 01:27:29.168200, Dynamic Status,43,2398,2,tachycardia
37,2022-04-29 01:27:30.685300,2022-04-29 01:27:30.685300, Dynamic Status,43,2398,2,healthy
38,2022-04-29 01:27:31.350400,2022-04-29 01:27:31.573400, Dynamic Status,43,2398,2,tachycardia
39,2022-04-29 01:27:33.370600,2022-04-29 01:27:47.463000, Dynamic Status,43,2398,2,healthy
40,2022-04-29 01:27:47.870000,2022-04-29 01:27:51.459400, Event : Payload Status,43,2398,2,tachycardia
41,2022-04-29 01:27:52.997500,2022-04-29 01:27:55.001800, Dynamic Status,43,2398,2,healthy
42,2022-04-29 01:27:56.055900,2022-04-29 01:27:56.265900, Dynamic Status,43,2398,2,tachycardia
43,2022-04-29 01:27:58.066100,2022-04-29 01:27:58.066100, Dynamic Status,43,2398,2,healthy
44,2022-04-29 01:27:58.947100,2022-04-29 01:27:59.157200, Dynamic Status,43,2398,2,tachycardia
45,2022-04-29 01:28:00.944300,2022-04-29 01:28:02.450500, Dynamic Status,43,2398,2,healthy
46,2022-04-29 01:28:03.199600,2022-04-29 01:28:03.409600, Dynamic Status,43,2398,2,tachycardia
47,2022-04-29 01:28:05.200800,2022-04-29 01:29:11.162400, Dynamic Status,43,2398,2,healthy
48,2022-04-29 01:29:11.375400,2022-04-29 01:29:16.719900, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,2398,2,tachycardia
49,2022-04-29 01:29:18.606100,2022-04-29 01:29:18.606100, Dynamic Status,43,2398,2,healthy
