,InterestingEventTime,EventDescription,currentThreadID,BotNumber
4430,2022-04-29 00:00:01.886500, Dynamic Status,21,2449
4431,2022-04-29 00:00:03.905700, Dynamic Status,21,2449
4432,2022-04-29 00:00:05.909900, Dynamic Status,21,2449
4433,2022-04-29 00:00:07.915100, Dynamic Status,21,2449
4434,2022-04-29 00:00:09.925300, Dynamic Status,21,2449
4435,2022-04-29 00:00:11.945500, Dynamic Status,21,2449
4436,2022-04-29 00:00:13.955700, Dynamic Status,21,2449
4437,2022-04-29 00:00:15.964900, Dynamic Status,21,2449
4438,2022-04-29 00:00:17.975100, Dynamic Status,21,2449
4439,2022-04-29 00:00:19.990300, Dynamic Status,21,2449
4440,2022-04-29 00:00:21.985500, Dynamic Status,21,2449
4441,2022-04-29 00:00:23.996700, Dynamic Status,21,2449
4442,2022-04-29 00:00:26.015900, Dynamic Status,21,2449
4443,2022-04-29 00:00:28.016100, Dynamic Status,21,2449
4444,2022-04-29 00:00:30.026300, Dynamic Status,21,2449
4445,2022-04-29 00:00:32.026500, Dynamic Status,21,2449
4446,2022-04-29 00:00:34.035700, Dynamic Status,21,2449
4447,2022-04-29 00:00:36.056900, Dynamic Status,21,2449
4448,2022-04-29 00:00:38.066100, Dynamic Status,21,2449
4449,2022-04-29 00:00:40.067300, Dynamic Status,21,2449
4450,2022-04-29 00:00:42.086500, Dynamic Status,21,2449
4451,2022-04-29 00:00:44.086700, Dynamic Status,21,2449
4452,2022-04-29 00:00:46.091900, Dynamic Status,21,2449
4453,2022-04-29 00:00:48.108100, Dynamic Status,21,2449
4454,2022-04-29 00:00:50.127300, Dynamic Status,21,2449
4455,2022-04-29 00:00:52.136500, Dynamic Status,21,2449
4456,2022-04-29 00:00:54.137700, Dynamic Status,21,2449
4457,2022-04-29 00:00:56.147900, Dynamic Status,21,2449
4458,2022-04-29 00:00:58.158100, Dynamic Status,21,2449
4459,2022-04-29 00:01:00.168300, Dynamic Status,21,2449
4460,2022-04-29 00:01:02.178500, Dynamic Status,21,2449
4461,2022-04-29 00:01:04.187700, Dynamic Status,21,2449
4462,2022-04-29 00:01:06.197900, Dynamic Status,21,2449
4463,2022-04-29 00:01:08.218100, Dynamic Status,21,2449
4464,2022-04-29 00:01:10.218300, Dynamic Status,21,2449
4465,2022-04-29 00:01:12.228500, Dynamic Status,21,2449
4466,2022-04-29 00:01:14.238700, Dynamic Status,21,2449
4467,2022-04-29 00:01:16.248900, Dynamic Status,21,2449
4468,2022-04-29 00:01:18.258100, Dynamic Status,21,2449
4469,2022-04-29 00:01:20.269300, Dynamic Status,21,2449
4470,2022-04-29 00:01:22.278500, Dynamic Status,21,2449
4471,2022-04-29 00:01:24.270700, Dynamic Status,21,2449
4472,2022-04-29 00:01:26.298900, Dynamic Status,21,2449
4473,2022-04-29 00:01:28.299100, Dynamic Status,21,2449
4474,2022-04-29 00:01:30.299300, Dynamic Status,21,2449
4475,2022-04-29 00:01:32.319500, Dynamic Status,21,2449
4476,2022-04-29 00:01:34.319700, Dynamic Status,21,2449
4477,2022-04-29 00:01:36.328900, Dynamic Status,21,2449
4478,2022-04-29 00:01:38.340100, Dynamic Status,21,2449
4479,2022-04-29 00:01:40.360300, Dynamic Status,21,2449
4480,2022-04-29 00:01:42.369500, Dynamic Status,21,2449
4481,2022-04-29 00:01:44.378700, Dynamic Status,21,2449
4482,2022-04-29 00:01:46.389900, Dynamic Status,21,2449
4483,2022-04-29 00:01:48.410100, Dynamic Status,21,2449
4484,2022-04-29 00:01:50.389300, Dynamic Status,21,2449
4485,2022-04-29 00:01:52.410500, Dynamic Status,21,2449
4486,2022-04-29 00:01:54.429700, Dynamic Status,21,2449
4487,2022-04-29 00:01:56.430900, Dynamic Status,21,2449
4488,2022-04-29 00:01:58.430100, Dynamic Status,21,2449
4489,2022-04-29 00:02:00.450300, Dynamic Status,21,2449
4490,2022-04-29 00:02:02.450500, Dynamic Status,21,2449
4491,2022-04-29 00:02:04.460700, Dynamic Status,21,2449
4492,2022-04-29 00:02:06.460900, Dynamic Status,21,2449
4493,2022-04-29 00:02:08.461100, Dynamic Status,21,2449
4494,2022-04-29 00:02:10.481300, Dynamic Status,21,2449
4495,2022-04-29 00:02:12.480500, Dynamic Status,21,2449
4496,2022-04-29 00:02:14.500800, Dynamic Status,21,2449
4497,2022-04-29 00:02:16.501000, Dynamic Status,21,2449
4498,2022-04-29 00:02:18.511200, Dynamic Status,21,2449
4499,2022-04-29 00:02:20.521400, Dynamic Status,21,2449
