,InterestingEventTime,EventDescription,currentThreadID,BotNumber
0,2022-04-29 17:15:12.306000, Unsubscribe : ALL,109,3466
1,2022-04-29 17:15:12.306000, Unsubscribe : OnDynamicStatus,109,3466
2,2022-04-29 17:15:12.306000, Unsubscribe : OnActionStatus,109,3466
3,2022-04-29 17:15:12.306000, Unsubscribe : OnPayloadStatus,109,3466
4,2022-04-29 17:15:12.306000, Unsubscribe : OnMaintenanceData,109,3466
5,2022-04-29 17:15:12.306000, Unsubscribe : OnRoverAlert,109,3466
6,2022-04-29 17:15:12.306000, Unsubscribe : OnOperationalStatus,109,3466
7,2022-04-29 17:15:12.306000, Unsubscribe : OnStateChanged,109,3466
8,2022-04-29 17:15:12.306000, Unsubscribe : OnConnectionStateChanged,109,3466
9,2022-04-29 17:15:12.306000, Unsubscribe : OnHardwareState,109,3466
10,2022-04-29 17:15:12.306000, Unsubscribe : OnLevelChanged,109,3466
20,2022-04-29 17:15:25.649300, Unsubscribe : OnHardwareState,235,3466
19,2022-04-29 17:15:25.649300, Unsubscribe : OnConnectionStateChanged,235,3466
18,2022-04-29 17:15:25.649300, Unsubscribe : OnStateChanged,235,3466
17,2022-04-29 17:15:25.649300, Unsubscribe : OnOperationalStatus,235,3466
16,2022-04-29 17:15:25.649300, Unsubscribe : OnRoverAlert,235,3466
21,2022-04-29 17:15:25.649300, Unsubscribe : OnLevelChanged,235,3466
14,2022-04-29 17:15:25.649300, Unsubscribe : OnPayloadStatus,235,3466
13,2022-04-29 17:15:25.649300, Unsubscribe : OnActionStatus,235,3466
12,2022-04-29 17:15:25.649300, Unsubscribe : OnDynamicStatus,235,3466
11,2022-04-29 17:15:25.649300, Unsubscribe : ALL,235,3466
15,2022-04-29 17:15:25.649300, Unsubscribe : OnMaintenanceData,235,3466
22,2022-04-29 17:15:25.696300, Subscribe : OnRoverAlert,14,3466
23,2022-04-29 17:15:25.697300, Subscribe : OnDynamicStatus,235,3466
24,2022-04-29 17:15:25.697300, Subscribe : OnPayloadStatus,14,3466
25,2022-04-29 17:15:25.697300, Dynamic Status,43,3466
26,2022-04-29 17:15:25.697300, Subscribe : OnOperationalStatus,235,3466
27,2022-04-29 17:15:25.697300, Event : Payload Status,43,3466
33,2022-04-29 17:15:25.698300, Event : Hardware State : 0,43,3466
32,2022-04-29 17:15:25.698300, Subscribe : OnActionStatus,14,3466
31,2022-04-29 17:15:25.698300, Event : StateChanged CheckMessageVersion => CheckMessageVersion,43,3466
30,2022-04-29 17:15:25.698300, Subscribe : OnHardwareState,235,3466
28,2022-04-29 17:15:25.698300, Subscribe : OnStateChanged,14,3466
29,2022-04-29 17:15:25.698300, Event : OperationalState : OperationalState Uninitialized : SubState SubStateOK,43,3466
34,2022-04-29 17:15:25.887300, Event : StateChanged CheckMessageVersion => GetStatus,43,3466
35,2022-04-29 17:15:25.916400, Event : Payload Status,43,3466
36,2022-04-29 17:15:26.119400, Event : OperationalState : OperationalState Uninitialized : SubState SubStateOK,43,3466
37,2022-04-29 17:15:26.119400," Event : Hardware State : DriveSystemOK, LiftArmsOK, PusherBarOK, RollersOK, LineSensors, AisleSensorsOK, CaseEdgeSensor, MultiLevel",43,3466
38,2022-04-29 17:15:26.120400, Event : StateChanged GetStatus => Offline,43,3466
39,2022-04-29 17:15:27.490500," Event : Hardware State : DriveSystemOK, LiftArmsOK, PusherBarOK, RollersOK, LineSensors, AisleSensorsOK, CaseEdgeSensor, MultiLevel, EnabledBySafety",43,3466
40,2022-04-29 17:15:28.123600, Event : StateChanged Offline => Initializing,43,3466
41,2022-04-29 17:15:47.706500, Dynamic Status,43,3466
42,2022-04-29 17:15:47.907500, Event : OperationalState : OperationalState Initialized : SubState SubStateOK,43,3466
43,2022-04-29 17:15:48.120600, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,3466
44,2022-04-29 17:15:49.719700, Dynamic Status,43,3466
45,2022-04-29 17:15:51.727900, Dynamic Status,43,3466
46,2022-04-29 17:15:53.728100, Dynamic Status,43,3466
47,2022-04-29 17:15:55.729300, Dynamic Status,43,3466
48,2022-04-29 17:15:57.738500, Dynamic Status,43,3466
49,2022-04-29 17:15:59.737700, Dynamic Status,43,3466
50,2022-04-29 17:16:01.744900, Dynamic Status,43,3466
51,2022-04-29 17:16:03.754100, Dynamic Status,43,3466
52,2022-04-29 17:16:05.758300, Dynamic Status,43,3466
53,2022-04-29 17:16:07.761500, Dynamic Status,43,3466
54,2022-04-29 17:16:08.611600, Event : Payload Status,43,3466
55,2022-04-29 17:16:08.814600, Event : OperationalState : OperationalState Idle : SubState SubStateOK,43,3466
56,2022-04-29 17:16:09.759700, Dynamic Status,43,3466
57,2022-04-29 17:16:09.815700, Event : StateChanged Initializing => SetUpdateRate,43,3466
58,2022-04-29 17:16:10.029800, Event : StateChanged SetUpdateRate => Online,43,3466
59,2022-04-29 17:16:10.059800, Event : Payload Status,43,3466
60,2022-04-29 17:16:10.257800, Event : OperationalState : OperationalState Idle : SubState SubStateOK,43,3466
61,2022-04-29 17:16:10.257800," Event : Hardware State : DriveSystemOK, LiftArmsOK, PusherBarOK, RollersOK, LineSensors, AisleSensorsOK, CaseEdgeSensor, MultiLevel, EnabledBySafety",43,3466
62,2022-04-29 17:16:11.762900, Dynamic Status,43,3466
63,2022-04-29 17:16:11.799900, Initialize : Cmd 1000000 : Response,43,3466
64,2022-04-29 17:16:11.999000, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,3466
65,2022-04-29 17:16:11.999000, Event : Action Status : AddWayPoint 1000000 : Status Started,43,3466
66,2022-04-29 17:16:13.766100, Dynamic Status,43,3466
67,2022-04-29 17:16:14.833200, Initialize : Cmd 1000001 : Response,43,3466
68,2022-04-29 17:16:15.039300, Dynamic Status,43,3466
69,2022-04-29 17:16:15.039300, Event : Action Status : AddWayPoint 1000000 : Status Completed,43,3466
70,2022-04-29 17:16:15.039300, Event : Action Status : ReadLocationID 1000001 : Status Started,43,3466
71,2022-04-29 17:16:16.876400, Dynamic Status,43,3466
72,2022-04-29 17:16:18.880600, Dynamic Status,43,3466
73,2022-04-29 17:16:20.885800, Dynamic Status,43,3466
74,2022-04-29 17:16:22.886000, Dynamic Status,43,3466
75,2022-04-29 17:16:24.904200, Dynamic Status,43,3466
76,2022-04-29 17:16:26.896400, Dynamic Status,43,3466
77,2022-04-29 17:16:28.896600, Dynamic Status,43,3466
78,2022-04-29 17:16:29.322700, Event : Action Status : ReadLocationID 1000001 : Status Completed,43,3466
79,2022-04-29 17:16:29.525700, Event : Alert ActionId:1000001 Text:Level:2|LocationID:3363,43,3466
80,2022-04-29 17:16:29.525700, Event : OperationalState : OperationalState Idle : SubState SubStateOK,43,3466
81,2022-04-29 17:16:30.902800, Dynamic Status,43,3466
82,2022-04-29 17:16:32.898000, Dynamic Status,43,3466
83,2022-04-29 17:16:34.907200, Dynamic Status,43,3466
84,2022-04-29 17:16:36.122400, Initialize : Cmd 1000002 : Response,43,3466
85,2022-04-29 17:16:36.331400, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,3466
86,2022-04-29 17:16:36.332400, Event : Action Status : AddWayPoint 1000002 : Status Started,43,3466
87,2022-04-29 17:16:36.913400, Dynamic Status,43,3466
