,AffectedBot,StartTime,DisconnectThread,LogType,TypeOfError,EndTime,ReconnectThread,LenOfDisco,DiscoType,EventsBetween
33,BOT2398,2022-04-29 09:42:50.958700,118,ERROR,ConnectionAborted,2022-04-29 09:43:28.376700,119,37.418,Flicker,8
38,BOT2401,2022-04-29 14:31:19.342800,207,ERROR,ConnectionAborted,2022-04-29 14:31:25.241400,217,5.8986,Flicket,4
39,BOT2401,2022-04-29 15:20:40.331900,18,ERROR,ConnectionReset,2022-04-29 15:23:53.946200,220,193.6143,restart,48
40,BOT2401,2022-04-29 15:25:00.098800,114,INFO,none,2022-04-29 15:25:00.098800,114,0.0,Orphan Connection Established,0
41,BOT2401,2022-04-29 17:34:29.312700,207,ERROR,Unknown,2022-04-29 17:34:29.312700,0,0.0,Orphan error,0
17,BOT2403,2022-04-29 17:34:32.462000,207,ERROR,Unknown,2022-04-29 17:34:32.462000,0,0.0,Orphan error,0
116,BOT2404,2022-04-29 17:34:35.161300,207,ERROR,Unknown,2022-04-29 17:34:35.161300,0,0.0,Orphan error,0
29,BOT2405,2022-04-29 08:59:56.633700,112,ERROR,ConnectionAborted,2022-04-29 09:00:29.800700,266,33.167,Flicker,8
18,BOT2413,2022-04-29 09:35:23.525700,40,ERROR,OperationAborted,2022-04-29 09:36:03.298700,185,39.773,Flicker,4
19,BOT2413,2022-04-29 13:05:55.443700,108,INFO,none,2022-04-29 13:05:55.443700,108,0.0,Orphan Connection Established,0
20,BOT2413,2022-04-29 13:27:41.951700,261,ERROR,ConnectionReset,2022-04-29 13:56:45.729700,135,1743.778,restart,48
21,BOT2413,2022-04-29 17:28:22.109000,49,INFO,none,2022-04-29 17:28:22.109000,49,0.0,Orphan Connection Established,0
22,BOT2413,2022-04-29 17:34:37.680500,156,ERROR,Unknown,2022-04-29 17:34:37.680500,0,0.0,Orphan error,0
53,BOT2419,2022-04-29 13:24:11.949700,239,ERROR,ConnectionReset,2022-04-29 13:24:21.083700,239,9.134,Flicket,4
96,BOT2421,2022-04-29 12:11:00.465700,203,INFO,none,2022-04-29 12:11:00.465700,203,0.0,Orphan Connection Established,0
97,BOT2421,2022-04-29 14:29:28.232700,108,INFO,none,2022-04-29 14:29:28.232700,108,0.0,Orphan Connection Established,0
