,fromAp
IB1-R-Z4-IDFA-1-16,7462
OB1-R-Z2-IDFA-2-46,4679
IB1-L-Z2-IDFB-5-42,4061
OB1-R-Z4-IDFB-5-46,2519
A12-F-IDFD-2-17,954
A14-F-IDFD-2-13,834
A11-F-IDFC-2-19,790
A10-F-IDFD-2-21,760
R-D7-IDFB-4-47,645
R-D1-IDFB-5-48,633
A17-F-IDFC-2-07,621
A19-F-IDFC-2-03,611
A07-F-IDFC-2-27,590
A15-F-IDFC-2-11,544
A09-B-IDFD-2-23,543
A13-F-IDFC-2-15,542
L-D9-IDFA-1-47,532
A16-F-IDFD-2-09,512
A05-F-IDFC-2-31,505
A18-F-IDFD-2-05,496
A02-F-IDFD-2-37,467
A01-B-IDFD-2-39,466
R-D5-IDFB-4-46,460
R-D9-IDFB-4-48,452
A20-F-IDFD-2-01,451
A15-B-IDFD-2-11,434
A14-B-IDFC-2-13,428
A11-B-IDFD-2-19,427
L-D5-IDFA-1-45,416
R-D11-IDFB-5-45,411
A18-B-IDFC-2-05,399
A04-F-IDFD-2-33,390
A07-B-IDFD-2-27,377
A12-B-IDFC-2-17,372
A03-F-IDFC-2-35,371
A09-F-IDFC-2-23,364
A16-B-IDFC-2-09,359
A06-B-IDFC-2-29,340
A06-F-IDFD-2-29,325
A17-B-IDFD-2-07,324
A10-B-IDFC-2-21,316
A20-B-IDFC-2-01,306
L-D11-IDFA-1-48,302
R-D3-IDFB-4-45,295
A08-F-IDFD-2-25,294
A04-B-IDFC-2-33,286
A03-B-IDFD-2-35,268
L-D7-IDFA-1-46,256
A01-F-IDFC-2-39,253
A05-B-IDFD-2-31,242
A08-B-IDFC-2-25,231
A13-B-IDFD-2-15,227
L-D13-IDFA-2-45,226
A02-B-IDFC-2-37,211
OB1-L-Z4-IDFB-5-47,197
A19-B-IDFD-2-03,193
L-D15-IDFA-2-48,87
