site_id,date,time,ap_name,sn,mac,ip,ap_firmware,group,controller,ap_model,ap_boot,ssid,operatingmode_radio1,operatingmode_radio2,power_radio1,power_radio2,channel_radio1,channel_radio2,state_radio1,state_radio2,ap_uptime
CSBETH4,20220429,00:00:02,A01-B-IDFD-2-39,CNG6K7Y013,80:8D:B7:CF:C2:D0,172.17.32.196,A1.0,5-CH-100-BACK-AISLE,172.17.34.93,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,100,ch2,rstate1,rstate2,458 days 19:54:11.04
CSBETH4,20220429,00:00:02,A01-F-IDFC-2-39,CNG6K7Y015,80:8D:B7:CF:C2:C8,172.17.32.197,A1.0,2-CH-56-FRONT-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,56,ch2,rstate1,rstate2,458 days 19:54:12.04
CSBETH4,20220429,00:00:02,A02-B-IDFC-2-37,CNG6K7Y00L,80:8D:B7:CF:C2:C0,172.17.32.215,A1.0,4-CH-64-BACK-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,64,ch2,rstate1,rstate2,458 days 19:54:21.04
CSBETH4,20220429,00:00:02,A02-F-IDFD-2-37,CNG6K7Y00Q,80:8D:B7:CF:C2:B0,172.17.32.227,A1.0,1-CH-52-FRONT-AISLE,172.17.34.93,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,52,ch2,rstate1,rstate2,458 days 19:54:21.04
CSBETH4,20220429,00:00:02,A03-B-IDFD-2-35,CNG6K7Y00V,80:8D:B7:CF:C2:6E,172.17.32.217,A1.0,3-CH-60-BACK-AISLE,172.17.34.93,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,60,ch2,rstate1,rstate2,458 days 19:54:11.04
CSBETH4,20220429,00:00:02,A03-F-IDFC-2-35,CNG6K7Y00X,80:8D:B7:CF:C2:BA,172.17.32.212,A1.0,6-CH-104-FRONT-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,104,ch2,rstate1,rstate2,458 days 19:54:22.04
CSBETH4,20220429,00:00:02,A04-B-IDFC-2-33,CNG6K7Y00W,80:8D:B7:CF:C2:9A,172.17.32.214,A1.0,2-CH-56-BACK-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,56,ch2,rstate1,rstate2,458 days 19:54:21.04
CSBETH4,20220429,00:00:02,A04-F-IDFD-2-33,CNG6K7Y011,80:8D:B7:CF:C2:B4,172.17.32.226,A1.0,5-CH-100-FRONT-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,100,ch2,rstate1,rstate2,458 days 19:54:11.04
CSBETH4,20220429,00:00:02,A05-B-IDFD-2-31,CNG6K7Y00H,80:8D:B7:CF:C2:82,172.17.32.228,A1.0,6-CH-104-FRONT-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,104,ch2,rstate1,rstate2,458 days 19:54:12.04
CSBETH4,20220429,00:00:02,A05-F-IDFC-2-31,CNG6K7Y019,80:8D:B7:CF:C2:B2,172.17.32.206,A1.0,4-CH-64-FRONT-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,64,ch2,rstate1,rstate2,458 days 19:54:12.04
CSBETH4,20220429,00:00:02,A06-B-IDFC-2-29,CNG6K7Y00T,80:8D:B7:CF:C2:A0,172.17.32.213,A1.0,6-CH-104-BACK-AISLE,172.17.34.93,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,104,ch2,rstate1,rstate2,458 days 19:54:12.04
CSBETH4,20220429,00:00:02,A06-F-IDFD-2-29,CNG6K7Y017,80:8D:B7:CF:C2:70,172.17.32.223,A1.0,3-CH-60-FRONT-AISLE,172.17.34.93,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,60,ch2,rstate1,rstate2,458 days 19:54:11.04
CSBETH4,20220429,00:00:02,A07-B-IDFD-2-27,CNG6K7Y001,80:8D:B7:CF:C2:B6,172.17.32.229,A1.0,5-CH-100-BACK-AISLE,172.17.34.93,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,100,ch2,rstate1,rstate2,458 days 19:54:21.04
CSBETH4,20220429,00:00:02,A07-F-IDFC-2-27,CNG6K7Y007,80:8D:B7:CF:C2:C4,172.17.32.205,A1.0,2-CH-56-FRONT-AISLE,172.17.34.93,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,56,ch2,rstate1,rstate2,458 days 19:54:21.04
CSBETH4,20220429,00:00:02,A08-B-IDFC-2-25,CNG6K7Y01H,80:8D:B7:CF:C2:7C,172.17.32.211,A1.0,4-CH-64-BACK-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,64,ch2,rstate1,rstate2,458 days 19:54:21.04
CSBETH4,20220429,00:00:02,A08-F-IDFD-2-25,CNG6K7Y002,80:8D:B7:CF:C2:B8,172.17.32.235,A1.0,1-CH-52-FRONT-AISLE,172.17.34.93,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,52,ch2,rstate1,rstate2,458 days 19:54:12.04
CSBETH4,20220429,00:00:02,A09-B-IDFD-2-23,CNG6K7Y01D,80:8D:B7:CF:C2:80,172.17.32.224,A1.0,3-CH-60-BACK-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,60,ch2,rstate1,rstate2,458 days 20:24:58.04
CSBETH4,20220429,00:00:02,A09-F-IDFC-2-23,CNG6K7Y01C,80:8D:B7:CF:C2:AC,172.17.32.200,A1.0,6-CH-104-FRONT-AISLE,172.17.34.93,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,104,ch2,rstate1,rstate2,458 days 20:24:17.04
CSBETH4,20220429,00:00:02,A10-B-IDFC-2-21,CNG6K7Y003,80:8D:B7:CF:C2:CA,172.17.32.216,A1.0,2-CH-56-BACK-AISLE,172.17.34.92,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,56,ch2,rstate1,rstate2,458 days 19:54:21.04
CSBETH4,20220429,00:00:02,A10-F-IDFD-2-21,CNG6K7Y009,80:8D:B7:CF:C2:90,172.17.32.234,A1.0,5-CH-100-FRONT-AISLE,172.17.34.93,318,8.3.0.5,SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,100,ch2,rstate1,rstate2,458 days 20:24:51.04
