,roamTimeAp,bridgeMac,fromAp,toAp
37475,2022-04-29 17:17:26.322000,0E:34:A2:64:1D:26,IB1-L-Z2-IDFB-5-42,IB1-R-Z4-IDFA-1-16
37855,2022-04-29 17:36:20.107000,0E:34:A2:64:1D:26,IB1-L-Z2-IDFB-5-42,IB1-R-Z4-IDFA-1-16
32636,2022-04-29 14:31:34.674000,0E:34:A2:64:1D:26,IB1-R-Z4-IDFA-1-16,R-D7-IDFB-4-47
32677,2022-04-29 14:33:52.481000,0E:34:A2:64:1D:26,IB1-R-Z4-IDFA-1-16,OB1-R-Z4-IDFB-5-46
32683,2022-04-29 14:34:04.276000,0E:34:A2:64:1D:26,IB1-R-Z4-IDFA-1-16,R-D7-IDFB-4-47
32926,2022-04-29 14:44:03.950000,0E:34:A2:64:1D:26,IB1-R-Z4-IDFA-1-16,R-D9-IDFB-4-48
33009,2022-04-29 14:47:47.253000,0E:34:A2:64:1D:26,IB1-R-Z4-IDFA-1-16,L-D9-IDFA-1-47
37451,2022-04-29 17:16:42.162000,0E:34:A2:64:1D:26,IB1-R-Z4-IDFA-1-16,IB1-L-Z2-IDFB-5-42
37852,2022-04-29 17:35:55.224000,0E:34:A2:64:1D:26,IB1-R-Z4-IDFA-1-16,L-D9-IDFA-1-47
37856,2022-04-29 17:37:40.900000,0E:34:A2:64:1D:26,IB1-R-Z4-IDFA-1-16,R-D7-IDFB-4-47
33014,2022-04-29 14:47:56.224000,0E:34:A2:64:1D:26,L-D9-IDFA-1-47,IB1-R-Z4-IDFA-1-16
37854,2022-04-29 17:36:19.855000,0E:34:A2:64:1D:26,L-D9-IDFA-1-47,IB1-L-Z2-IDFB-5-42
31462,2022-04-29 13:37:30.730000,0E:34:A2:64:1D:26,OB1-L-Z4-IDFB-5-47,IB1-R-Z4-IDFA-1-16
37858,2022-04-29 17:37:52.869000,0E:34:A2:64:1D:26,R-D1-IDFB-5-48,R-D5-IDFB-4-46
32961,2022-04-29 14:45:25.653000,0E:34:A2:64:1D:26,R-D11-IDFB-5-45,R-D7-IDFB-4-47
32685,2022-04-29 14:34:06.292000,0E:34:A2:64:1D:26,R-D3-IDFB-4-45,R-D9-IDFB-4-48
